benchmark,rng_seed,method,query,mask,boundary_count,status,valid,cache_hit,area,wns,score,incumbent_reward,improvement_over_seed
cmp32,20260925,count_matched_uniform,7,0x19303a7e,15,success,True,False,276.906,7.60788,75.801894,76.013816,0.0
cmp32,20260925,count_matched_uniform,8,0x7d97edf7,24,success,True,False,274.246,7.60998,75.825554,76.013816,0.0
cmp32,20260925,count_matched_uniform,9,0x40a90088,7,success,True,False,277.172,7.55948,75.317628,76.013816,0.0
cmp32,20260925,count_matched_uniform,10,0x20003462,7,success,True,False,267.596,7.58711,75.603504,76.013816,0.0
cmp32,20260925,count_matched_uniform,11,0x00004000,1,success,True,True,276.906,7.60769,75.799994,76.013816,0.0
cmp32,20260925,count_matched_uniform,12,0x40208000,3,success,True,False,271.852,7.58526,75.580748,76.013816,0.0
cmp32,20260925,count_matched_uniform,13,0x1211008a,7,success,True,False,277.172,7.57059,75.428728,76.013816,0.0
cmp32,20260925,count_matched_uniform,14,0x10000000,1,success,True,True,275.044,7.61834,75.908356,76.013816,0.0
cmp32,20260925,count_matched_uniform,15,0x1005010e,7,success,True,False,270.788,7.58931,75.622312,76.013816,0.0
cmp32,20260925,count_matched_uniform,16,0x30064009,7,success,True,False,276.374,7.56409,75.364526,76.013816,0.0
popcount32,20260923,v1_learn,1,0x04803000,4,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,2,0x028e0288,8,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,3,0x400022b0,6,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,4,0x080084aa,7,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v1_learn,5,0x0a228288,8,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v1_learn,6,0x58830808,8,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,7,0x000e8180,6,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,8,0x10808380,6,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,9,0x146028a2,9,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,10,0x02a80989,9,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,11,0x00203288,6,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,12,0x02c68080,7,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,13,0x009892f0,10,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v1_learn,14,0x02480080,4,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v1_learn,15,0x0a908090,7,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v1_learn,16,0x60982080,7,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,1,0x10000000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,2,0x00080000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,3,0x00000200,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,4,0x7fab4801,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,5,0x00001000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,6,0x09008000,3,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,7,0x7ffe8000,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,8,0x08000000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,9,0x7ffb0800,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,10,0x7fff0000,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,11,0x7e800000,7,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,12,0x00100000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,13,0x00400000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,14,0x02000000,1,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_learn,15,0x7ffa8400,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_learn,16,0x7fda8050,15,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_frozen,1,0x10000000,1,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,2,0x00080000,1,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,3,0x00000200,1,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,4,0x7fab4801,15,success,True,True,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_frozen,5,0x00001000,1,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,6,0x09008000,3,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,7,0x7ffe8000,15,success,True,True,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_frozen,8,0x08000000,1,success,True,True,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,9,0x7ffb0800,15,success,True,True,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_frozen,10,0x7f800000,8,success,True,False,264.67,7.01514,69.88673,69.95253,0.0
popcount32,20260923,v2_frozen,11,0x7e800000,7,success,True,True,264.67,7.02172,69.95253,69.95253,0.0
popcount32,20260923,v2_frozen,12,0x09800000,3,success,True,False,264.67,7.02172,69.95253,69.95253,0.0
