seed,method,query,baseline,scale,expected_K
31001,v2_raw_aggregate,12,70.82122173397434,0.8579507306115371,18.014246650524495
31001,v2_raw_aggregate,13,70.57111898717947,0.9364633312840986,17.982384897507643
31001,v2_raw_aggregate,14,70.70223678974358,0.8802884675913845,17.823670565520775
31001,v2_raw_aggregate,15,70.81005223179487,0.8120462161243922,17.70100892678874
31001,v2_raw_aggregate,16,70.8863789854359,0.7259637265405406,17.61595404918414
31001,v3_conditioned,1,70.4822924,0.6512156451475055,21.50491013238828
31001,v3_conditioned,2,70.61288872000002,0.6515688361180024,21.550170821616387
31001,v3_conditioned,3,70.44597897600002,0.688164812894405,21.640514090597357
31001,v3_conditioned,4,70.58602598080003,0.69057885511552,21.575482408060058
31001,v3_conditioned,5,70.71239838464004,0.6788354879324102,21.947300290463907
31001,v3_conditioned,6,70.79474670771204,0.6254167134179198,21.904517863362283
31001,v3_conditioned,7,70.88208016616963,0.5876668291919288,21.8475702576902
31001,v3_conditioned,8,70.36666333293572,0.9855502965874685,20.601941884900864
31001,v3_conditioned,9,70.57030266634857,0.9920795706828324,21.10789556524447
31001,v3_conditioned,10,70.67386493307886,0.8972259232765534,21.061912781702908
31001,v3_conditioned,11,70.7776691464631,0.8215849520054709,21.009576205229937
31001,v3_conditioned,12,70.84851811717049,0.7281169323117562,20.968983903316435
31001,v3_conditioned,13,70.59295609373639,0.8380555692835028,20.44098647344513
31001,v3_conditioned,14,70.68819967498911,0.765688036679525,20.391118642293414
31001,v3_conditioned,15,70.78328933999128,0.7076400943457976,20.33736212716744
31001,v3_conditioned,16,70.86910867199303,0.6519314074783802,20.28607045936103
31001,v2_frozen,1,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,2,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,3,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,4,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,5,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,6,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,7,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,8,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,9,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,10,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,11,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,12,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,13,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,14,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,15,70.3477165,0.6457996814343835,21.662391505451552
31001,v2_frozen,16,70.3477165,0.6457996814343835,21.662391505451552
31002,v2_legacy,1,70.51271600000001,0.6816392451475057,20.336742020049577
31002,v2_legacy,2,70.67894360000001,0.711538996118001,19.312955222107707
31002,v2_legacy,3,70.80788048000001,0.6981680768943985,18.71915867753383
31002,v2_legacy,4,70.68088678400001,0.6855281575155213,19.1340105938351
31002,v2_legacy,5,70.78311222720001,0.6506479692124153,18.696735907766588
31002,v2_legacy,6,70.87824698176001,0.6156531299299309,18.336561774675467
31002,v2_legacy,7,70.90591678540801,0.5425225039439447,18.2772894109663
