seed,method,query,mask,K,status,cache_hit,area,wns,score,best_so_far,seed_relative_gain
31002,v3_conditioned,11,0x7fbf0204,16,success,False,380.114,7.15518,71.171686,71.474664,0.0
31002,v3_conditioned,12,0x7ffe4040,16,success,False,380.114,7.15493,71.169186,71.474664,0.0
31002,v3_conditioned,13,0x7ffd3000,16,success,False,380.114,7.1545,71.164886,71.474664,0.0
31002,v3_conditioned,14,0x7ffc7000,16,success,False,377.986,7.1605,71.227014,71.474664,0.0
31002,v3_conditioned,15,0x7ff62006,16,success,True,378.252,7.15567,71.178448,71.474664,0.0
31002,v3_conditioned,16,0x01000000,1,success,False,292.068,6.94389,69.146832,71.474664,0.0
31002,v2_frozen,1,0x7ff66400,16,success,True,377.986,7.15507,71.172714,71.474664,0.0
31002,v2_frozen,2,0x7ffe0042,16,success,True,380.646,7.17245,71.343854,71.474664,0.0
31002,v2_frozen,3,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31002,v2_frozen,4,0x6e802000,7,success,False,349.524,7.06719,70.322376,71.474664,0.0
31002,v2_frozen,5,0x7ffe0060,16,success,False,380.114,7.15615,71.181386,71.474664,0.0
31002,v2_frozen,6,0x7fee8480,16,success,False,377.986,7.16245,71.246514,71.474664,0.0
31002,v2_frozen,7,0x7e010000,7,success,True,357.504,7.13741,71.016596,71.474664,0.0
31002,v2_frozen,8,0x7c020400,7,success,True,348.46,7.02052,69.85674,71.474664,0.0
31002,v2_frozen,9,0x7e400000,7,success,False,357.504,7.02119,69.854396,71.474664,0.0
31002,v2_frozen,10,0x7ffe8100,16,success,True,380.114,7.16219,71.241786,71.474664,0.0
31002,v2_frozen,11,0x7ffb0204,16,success,False,380.114,7.1519,71.138886,71.474664,0.0
31002,v2_frozen,12,0x7ff70140,16,success,False,380.646,7.17807,71.400054,71.474664,0.0
31002,v2_frozen,13,0x7ff29c00,16,success,False,375.06,7.15085,71.13344,71.474664,0.0
31002,v2_frozen,14,0x7ff63800,16,success,True,377.986,7.15181,71.140114,71.474664,0.0
31002,v2_frozen,15,0x7fff4000,16,success,True,383.572,7.17072,71.323628,71.474664,0.0
31002,v2_frozen,16,0x7ff55400,16,success,False,377.986,7.14889,71.110914,71.474664,0.0
31003,v2_legacy,1,0x7e200000,7,success,False,357.504,7.01954,69.837896,71.474664,0.0
31003,v2_legacy,2,0x00800000,1,success,False,282.758,6.97208,69.438042,71.474664,0.0
31003,v2_legacy,3,0x7fff0040,16,success,True,383.572,7.1758,71.374428,71.474664,0.0
31003,v2_legacy,4,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31003,v2_legacy,5,0x7ffba000,16,success,False,380.114,7.15653,71.185186,71.474664,0.0
31003,v2_legacy,6,0x7ff38440,16,success,False,378.252,7.14842,71.105948,71.474664,0.0
31003,v2_legacy,7,0x7ffae000,16,success,False,377.986,7.15347,71.156714,71.474664,0.0
31003,v2_legacy,8,0x7ffe0600,16,success,False,380.114,7.1573,71.192886,71.474664,0.0
31003,v2_legacy,9,0x7c000120,7,success,False,343.406,6.98352,69.491794,71.474664,0.0
31003,v2_legacy,10,0x7fff1000,16,success,False,383.572,7.17936,71.410028,71.474664,0.0
31003,v2_legacy,11,0x7ff2c600,16,success,False,375.06,7.14662,71.09114,71.474664,0.0
31003,v2_legacy,12,0x7fff0200,16,success,False,383.572,7.173,71.346428,71.474664,0.0
31003,v2_legacy,13,0x7fff2000,16,success,True,383.572,7.1728,71.344428,71.474664,0.0
31003,v2_legacy,14,0x7ffe1040,16,success,False,380.114,7.15804,71.200286,71.474664,0.0
31003,v2_legacy,15,0x7ffd0408,16,success,False,380.646,7.17616,71.380954,71.474664,0.0
31003,v2_legacy,16,0x7ff2ca00,16,success,False,375.06,7.15186,71.14354,71.474664,0.0
31003,v2_raw_aggregate,1,0x7e200000,7,success,True,357.504,7.01954,69.837896,71.474664,0.0
31003,v2_raw_aggregate,2,0x00800000,1,success,True,282.758,6.97208,69.438042,71.474664,0.0
31003,v2_raw_aggregate,3,0x7fff0040,16,success,True,383.572,7.1758,71.374428,71.474664,0.0
31003,v2_raw_aggregate,4,0x7fff8000,16,success,True,383.572,7.17207,71.337128,71.474664,0.0
31003,v2_raw_aggregate,5,0x7ffba000,16,success,True,380.114,7.15653,71.185186,71.474664,0.0
31003,v2_raw_aggregate,6,0x7ff38440,16,success,True,378.252,7.14842,71.105948,71.474664,0.0
31003,v2_raw_aggregate,7,0x7ffae000,16,success,True,377.986,7.15347,71.156714,71.474664,0.0
31003,v2_raw_aggregate,8,0x7ffe0600,16,success,True,380.114,7.1573,71.192886,71.474664,0.0
31003,v2_raw_aggregate,9,0x7c000120,7,success,True,343.406,6.98352,69.491794,71.474664,0.0
31003,v2_raw_aggregate,10,0x7fff1000,16,success,True,383.572,7.17936,71.410028,71.474664,0.0
31003,v2_raw_aggregate,11,0x7ff2c600,16,success,True,375.06,7.14662,71.09114,71.474664,0.0
31003,v2_raw_aggregate,12,0x7fff0200,16,success,True,383.572,7.173,71.346428,71.474664,0.0
31003,v2_raw_aggregate,13,0x7fff2000,16,success,True,383.572,7.1728,71.344428,71.474664,0.0
31003,v2_raw_aggregate,14,0x7ffe1040,16,success,True,380.114,7.15804,71.200286,71.474664,0.0
31003,v2_raw_aggregate,15,0x7ffd0408,16,success,True,380.646,7.17616,71.380954,71.474664,0.0
31003,v2_raw_aggregate,16,0x7ff2ca00,16,success,True,375.06,7.15186,71.14354,71.474664,0.0
31003,v3_conditioned,1,0x7e200000,7,success,True,357.504,7.01954,69.837896,71.474664,0.0
